ID,NEXT,MPHON,FEAT,BASEF,FLAG
A41,16,{VØ},"A CMP",s,
41,"SgNom SgPtvTA",s,,s,
41,"SgIllSeen SgCase PlNom PlGenIden PlPtvItA PlIllIsiin PlIllIhin PlCase",{VØ},,s,
,"! 42 mies",,,,
N42,42,,N,,
42,"SgNom SgPtvTA PlGenTen",s,,s,
42,"SgIllVn SgCase PlNom PlGenIen PlPtvIA PlIllIin PlCase",h{eØ},,s,
,"! 43 ohut olut airut lyhyt immyt",,,,
N43,43,,N,,
A43,43,,"A POS",,
A43,16,{eØ},"A CMP",t,
43,"SgNom SgPtvTA",t,,t,
43,"SgIllVn SgCase PlNom PlGenIden PlPtvItA PlIllIsiin PlIllIhin",{eØ},,t,
,"! 44 kevät",,,,
N44,44,,N,,
44,"SgNom SgPtvTA",t,,t,
44,"SgIllSeen SgCase PlNom PlGenIden PlPtvItA PlIllIsiin PlIllIhin PlCase",{VØ},,t,
,"! 45 kahdeksas",,,,
,"! 46 tuhat",,,,
,"! 47 kuollut liittoutuneet",,,,
N47,47,,N,,
A47,47,,"A POS",,
A47,16,,"A CMP",,
47,"SgNom SgPtvTA",{uy}t,,{uy}t,
47,"SgIllSeen SgCase PlNom PlGenIden PlPtvItA PlIllIsiin PlIllIhin PlCase",e{VØ},,{uy}t,
,"! 48 hame jae made säde pahe pyyhe aie lahje ohje osake suihke syke helle lumme ihanne koe ape uurre laite kuve alkeet",,,,
N48,48,,N,,
A48,48,,"A POS",,
48,SgNom,{C},,{C},
48,"SgIllSeen SgCase PlNom PlGenIden PlPtvItA PlIllIsiin PlIllIhin PlCase",{VØ},,{C},
48,SgPtvTA,t,,{C},
,"! 49 askel askele sammal taival taipale ommel ompele piennar pientare säen säkene udar utare penger penkere",,,,
N49C,32,,N,,
N49e,48,,N,,
N49auer,49auer,,N,,
49auer,"SgNom SgPtvTA PlGenTen",,,,
,,,,,
SgCase,"SgGen SgEss SgTra SgIne SgEla SgAde SgAbl SgAll SgAbe",,,,
SgNom,Clit,,"SG NOM",,
SgGen,Clit,n,"SG GEN",,
SgGen,PossObl,,"SG GEN",,
SgPtvA,Poss,{aä},"SG PTV",,
SgPtvTA,Poss,t{aä},"SG PTV",,
SgTra,Clit,ksi,"SG TRA",,
SgTra,PossObl,kse,"SG TRA",,
SgEss,Poss,n{aä},"SG ESS",,
SgIne,Poss,ss{aä},"SG INE",,
SgEla,Poss,st{aä},"SG ELA",,
SgIllVn,Clit,{V}n,"SG ILL",,
SgIllVn,PossObl,{V},"SG ILL",,
SgIllHVn,Clit,h{V}n,"SG ILL",,
SgIllHVn,PossObl,h{V},"SG ILL",,
SgIllSeen,Clit,seen,"SG ILL",,
SgIllSeen,PossObl,see,"SG ILL",,
SgAde,Poss,ll{aä},"SG ADE",,
SgAbl,Poss,lt{aä},"SG ABL",,
SgAll,Poss,lle,"SG ALL",,
SgAbe,Poss,tt{aä},"SG ABE",,
,,,,,
PlCase,"PlEss PlTra PlIne PlEla PlAde PlAbl PlAll PlAbe PlCmt PlIns",,,,
PlNom,Clit,t,"PL NOM",,
PlGenEn,Clit,en,"PL GEN",,
,PossObl,e,"PL GEN",,
PlGenIen,Clit,{ij}en,"PL GEN",,
,PossObl,{ij}e,"PL GEN",,
PlGenIden,Clit,{ij}d{C}en,"PL GEN",,
,Clit,{ij}tten,"PL GEN",,
PlGenIden,PossObl,{ij}d{C}e,"PL GEN",,
,PossObl,{ij}tte,"PL GEN",,
PlGenTen,Clit,ten,"PL GEN",,
,PossObl,te,"PL GEN",,
PlGenIn,Clit,in,"PL GEN",,
,PossObl,i,"PL GEN",,
PlPtvIA,Poss,{ij}{aä},"PL PTV",,
PlPtvItA,Poss,{ij}t{C}{aäØ},"PL PTV",,
PlTra,Clit,{ij}ksi,"PL TRA",,
,PossObl,{ij}kse,"PL TRA",,
PlEss,Poss,{ij}n{aä},"PL ESS",,
PlIne,Poss,{ij}ss{aäØ},"PL INE",,
PlEla,Poss,{ij}st{aäØ},"PL ELA",,
PlIllIin,Clit,{ij}in,"PL ILL",,
,PossObl,{ij}i,"PL ILL",,
PlIllIhin,Clit,{ij}hin,"PL ILL",,
,PossObl,{ij}hi,"PL ILL",,
PlIllIhinW,Clit,{ij}h{C}in,"PL ILL",,
,PossObl,{ij}h{C}i,"PL ILL",,
PlIllIsiin,Clit,{ij}siin,"PL ILL",,
,PossObl,{ij}sii,"PL ILL",,
PlAde,Poss,{ij}ll{aäØ},"PL ADE",,
PlAbl,Poss,{ij}lt{aäØ},"PL ABL",,
PlAll,Poss,{ij}lle,"PL ALL",,
PlAbe,Poss,{ij}tt{aäØ},"PL TRA",,
PlCmt,Poss,{ij}ne,"PL CMT",,
PlIns,Clit,{ij}n,"PL INS",,
Poss,Clit,,,,
,"! PossObl",,,,
PossObl,Clit,ni,SG1,,
,,,,,
,,,,,
Clit,End,,,,
,"! #",kin,KIN,,
,,,,,
v0,"Person neg",,"V PRES ACT",,
,Clit,{C},"V IMPV ACT 2SG",,
v1,"Person neg",{i},"V PAST ACT",,
v2,"Person neg",isi,"V COND ACT",,
v3,"Person neg",{nlrs}e,"V POTN ACT",,
,!!Clit,k{oö}{oö}n,"V IMPV ACT 3SG",,
,!!Clit,k{aä}{aä}mme,"V IMPV ACT 1PL",,
,Clit,k{aä}{aä},"V IMPV ACT 2PL",,
,!!Clit,k{aä}{aä}tte,"V IMPV ACT 2PL",,
,!!Clit,k{oö}{oö}t,"V IMPV ACT 3PL",,
,neg4pe,{dlnrtØ}{C}{aä},"V PRES PSS",,
,Clit,{Øt}tiin,"V PAST PSS 4PE",,
,neg4pe,{Øt}t{aä}isi,"V COND PSS",,
,neg4pe,{Øt}t{aä}ne,"V POTN PSS",,
,neg4pe,{Øt}t{aä}k{oö},"V IMPV PSS",,
,Clit,{dlnrtØ}{aä},"V INF1 NOM",,
,PossObl,{dlnrtØ}{aä}kse,"V INF1 TRA",,
,Poss,{dlnrtØ}ess{aä},"V INF2 ACT INE",,
,Clit,{dlnrtØ}en,"V INF2 ACT MAN",,
,Clit,{Øt}t{aä}ess{aä},"V INF2 PSS INE",,
,Clit,{Øt}t{aä}m{aä}n,"V DVMA PSS INS",,
,!!Clit,{Øt}t{aä}v{aä},"V PCP1 PSS POS SG NOM",,
,Clit,{nlrs}{uy}t,"V PCP2 ACT POS SG NOM",,
,!!Clit,{dlnrtØ}{tØ}{uy},"V PCP2 PSS POS SG NOM",,
,Clit,{Øt}{tØ}{uy},"V PCP2 PSS POS SG NOM",,
,,,,,
,,,,,
v0123,"v0 v1 v2 v3",,,,
v012,"v0 v1 v2",,,,
v02,"v0 v2",,,,
v03,"v0 v3",,,,
v12,"v1 v2",,,,
v13,"v1 v3",,,,
/v,v0123,,,,
